current,setpoint,rate_change,cycle_ratio
167,165,0.0952380952380952,0.05
167,165,0,0.05
167,165,0,0.0841094452319129
168,165,0.0476190476190476,0.05
168,165,0,0.05
166,165,-0.0952380952380952,0.114460246703208
163,165,-0.142857142857143,0.199204607385884
160,165,-0.142857142857143,0.211874290468339
159,165,-0.0476190476190476,0.258753999913869
161,165,0.0952380952380952,0.115664182825487
163,165,0.0952380952380952,0.0871414401723549
166,165,0.142857142857143,0.05
169,165,0.142857142857143,0.05
169,165,0,0.05
166,165,-0.142857142857143,0.113917257013164
163,165,-0.142857142857143,0.195824467394077
161,165,-0.0952380952380952,0.255626890465579
161,165,0,0.175414742761188
164,165,0.142857142857143,0.05
169,165,0.238095238095238,0.05
174,165,0.238095238095238,0.05
174,165,0,0.05
172,165,-0.0952380952380952,0.05
169,165,-0.142857142857143,0.0567800026446869
169,165,0,0.05
169,165,0,0.05
168,165,-0.0476190476190476,0.05
166,165,-0.0952380952380952,0.05
164,165,-0.0952380952380952,0.0847602769690329
165,165,0.0476190476190476,0.05
164,165,-0.0476190476190476,0.05
164,165,0,0.05
163,165,-0.0476190476190476,0.0833425079848921
161,165,-0.0952380952380952,0.155586722585308
159,165,-0.0952380952380952,0.203125641700437
158,165,-0.0476190476190476,0.20617965096544
158,165,0,0.193167659772767
161,165,0.142857142857143,0.063288411952205
163,165,0.0952380952380952,0.0643316893989354
165,165,0.0952380952380952,0.05
168,165,0.142857142857143,0.05
166,165,-0.0952380952380952,0.05
164,165,-0.0952380952380952,0.189158929900293
163,165,-0.0476190476190476,0.151271457176698
163,165,0,0.126167238950729
163,165,0,0.130846220696414
152,165,-0.523809523809524,0.671792357914464
156,380,0.19047619047619,1
162,380,0.285714285714286,1
167,380,0.238095238095238,1
177,380,0.476190476190476,1
192,380,0.714285714285714,1
207,380,0.714285714285714,1
225,380,0.857142857142857,1
239,380,0.666666666666667,1
253,380,0.666666666666667,1
264,380,0.523809523809524,1
275,380,0.523809523809524,1
284,380,0.428571428571429,1
292,380,0.380952380952381,1
301,380,0.428571428571429,1
307,380,0.285714285714286,1
312,380,0.238095238095238,1
317,380,0.238095238095238,1
321,380,0.19047619047619,1
327,380,0.285714285714286,1
333,380,0.285714285714286,1
341,380,0.380952380952381,1
346,380,0.238095238095238,1
351,380,0.238095238095238,1
356,380,0.238095238095238,1
361,380,0.238095238095238,1
336,380,-1.19047619047619,1
324,380,-0.571428571428571,1
332,380,0.380952380952381,1
339,380,0.333333333333333,1
344,380,0.238095238095238,1
349,380,0.238095238095238,1
352,380,0.142857142857143,1
357,380,0.238095238095238,1
361,380,0.19047619047619,1
369,380,0.380952380952381,0.962859177310838
374,380,0.238095238095238,0.921830422514486
342,380,-1.52380952380952,1
312,380,-1.42857142857143,1
328,380,0.761904761904762,1
351,380,1.0952380952381,0.923881400459513
366,380,0.714285714285714,0.772465375603837
381,380,0.714285714285714,0.502536393640458
390,380,0.428571428571429,0.53991777957769
395,380,0.238095238095238,0.540003260167636
397,380,0.0952380952380952,0.557006083484455
398,380,0.0476190476190476,0.479143822415598
401,380,0.142857142857143,0.397178967720632
401,380,0,0.358869893090456
400,380,-0.0476190476190476,0.386251061482183
398,380,-0.0952380952380952,0.454518516244634
393,380,-0.238095238095238,0.567211980152777
390,380,-0.142857142857143,0.485199719434232
388,380,-0.0952380952380952,0.54572993915246
386,380,-0.0952380952380952,0.535508022712403
382,380,-0.19047619047619,0.657247443013576
383,380,0.0476190476190476,0.435883546093494
384,380,0.0476190476190476,0.486158276730114
384,380,0,0.525612331899136
381,380,-0.142857142857143,0.537440513098952
382,380,0.0476190476190476,0.50315180780711
